City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Olafsvik,100,IS,1603409057,68,64.89,-23.71,42.53,29.97
Rimbey,90,CA,1603409057,72,52.63,-114.24,18.0,4.7
Suna,21,RU,1603409057,94,57.83,50.06,26.42,3.33
Avarua,99,CK,1603408961,83,-21.21,-159.78,78.8,13.87
Faanui,4,PF,1603409023,73,-16.48,-151.75,79.05,7.34
San Quintín,54,MX,1603408769,66,30.48,-115.95,68.79,9.48
Cape Town,0,ZA,1603408961,93,-33.93,18.42,64.99,9.17
Ribeira Grande,19,PT,1603408787,69,38.52,-28.7,65.1,8.28
Carnarvon,0,AU,1603409030,88,-24.87,113.63,66.2,12.75
Sittwe,99,MM,1603409035,85,20.15,92.9,80.83,18.16
Bulungu,100,CD,1603409012,97,-4.55,18.6,71.42,1.79
Lincoln,90,US,1603408984,86,40.8,-96.67,39.2,24.16
Grindavik,75,IS,1603409058,75,63.84,-22.43,42.8,28.86
Hithadhoo,10,MV,1603408775,75,-0.6,73.08,83.16,14.36
Ilulissat,77,GL,1603409059,68,69.22,-51.1,26.6,6.93
Severo-Kuril'sk,62,RU,1603409039,79,50.68,156.12,45.7,10.11
Lipari,0,IT,1603409059,73,38.47,14.95,60.01,4.0
Kapaa,40,US,1603409020,58,22.08,-159.32,86.0,12.75
Cayenne,0,GF,1603408808,88,4.93,-52.33,80.6,4.7
Arrondissement d'Ajaccio,0,FR,1603409059,71,42.0,8.92,57.2,6.93
Dikson,92,RU,1603409027,97,73.51,80.55,23.76,4.9
Tiznit Province,100,MA,1603408824,79,29.58,-9.5,61.38,4.16
Jalu,0,LY,1603408813,63,29.03,21.55,62.55,8.81
Torbay,5,CA,1603408789,76,47.67,-52.73,53.01,26.4
Bouaflé,75,CI,1603409060,94,6.99,-5.74,75.2,6.93
Jardim,90,BR,1603409060,74,-21.48,-56.14,76.73,4.85
Logansport,1,US,1603409060,69,40.75,-86.36,73.4,9.4
Portland,1,US,1603408769,47,45.52,-122.68,57.99,8.05
Praia da Vitória,20,PT,1603409060,100,38.73,-27.07,60.01,9.22
Port Alfred,11,ZA,1603408960,92,-33.59,26.89,67.39,15.5
Rio Grande,99,BR,1603409060,90,-32.03,-52.1,64.0,8.01
Lüderitz,0,NA,1603408852,81,-26.65,15.16,59.14,8.43
Huinan,0,CN,1603409060,83,42.62,126.26,30.94,4.52
Lorengau,2,PG,1603408812,73,-2.02,147.27,83.62,9.62
Kirakira,98,SB,1603408816,79,-10.45,161.92,80.85,10.47
Labuhan,45,ID,1603409061,78,-6.88,112.21,80.69,3.71
Wanaka,85,NZ,1603409061,53,-44.7,169.15,57.0,3.78
Ust'-Ishim,75,RU,1603409061,98,57.69,71.17,29.59,4.23
Carutapera,34,BR,1603408795,93,-1.2,-46.02,76.12,5.01
Mar del Plata,90,AR,1603409020,100,-38.0,-57.56,55.0,11.41
Vysokogornyy,89,RU,1603409061,87,50.12,139.15,35.04,3.0
Lagoa,33,PT,1603409020,72,39.05,-27.98,64.99,11.18
Cabedelo,75,BR,1603409061,100,-6.98,-34.83,75.2,11.41
Isangel,90,VU,1603408773,83,-19.55,169.27,78.8,9.17
Andros Town,0,BS,1603409061,78,24.7,-77.77,80.6,8.05
Graham,1,US,1603408981,66,47.05,-122.29,53.01,3.8
Vokhma,92,RU,1603409062,94,58.93,46.76,28.31,8.32
Souillac,75,MU,1603408961,88,-20.52,57.52,71.6,11.41
Bandarbeyla,74,SO,1603409062,67,9.49,50.81,79.3,5.32
Kortkeros,0,RU,1603409062,92,61.81,51.58,17.6,4.47
Povenets,100,RU,1603409062,91,62.85,34.83,41.04,16.46
Saint Paul Harbor,90,US,1603409034,70,57.79,-152.41,46.4,25.28
Ouésso,100,CG,1603409062,96,1.61,16.05,70.56,1.48
Ambon City,40,ID,1603409062,88,-3.7,128.18,77.0,6.93
Bengkulu,100,ID,1603408961,74,-3.8,102.27,76.08,4.94
Beringovskiy,47,RU,1603409062,82,63.05,179.32,39.38,15.32
Wagar,0,SD,1603408795,38,16.15,36.2,82.8,7.72
Luau,84,AO,1603409063,82,-10.71,22.22,66.78,1.72
Kaitangata,85,NZ,1603409023,52,-46.28,169.85,61.09,7.27
Shelekhov,0,RU,1603409063,80,52.21,104.1,30.2,6.71
Aksu,23,CN,1603409025,46,41.12,80.26,44.44,0.4
Kruisfontein,0,ZA,1603409063,90,-34.0,24.73,59.0,1.01
Khatanga,25,RU,1603408788,91,71.97,102.5,2.1,7.56
Kutum,98,SD,1603409063,19,14.2,24.67,74.39,10.29
Tuatapere,100,NZ,1603409063,60,-46.13,167.68,63.0,7.0
Richards Bay,87,ZA,1603409063,83,-28.78,32.04,70.32,10.58
Ola,96,RU,1603409063,92,59.58,151.28,31.44,12.26
Zhangaözen,28,KZ,1603409064,56,43.3,52.8,45.1,5.53
Airai,60,TL,1603408769,81,-8.93,125.41,68.36,0.31
Port Elizabeth,90,ZA,1603409019,88,-33.92,25.57,68.0,13.87
Atkinson,90,US,1603409064,93,42.84,-71.15,57.0,5.82
Kokopo,34,PG,1603409064,70,-4.35,152.26,83.41,5.46
Sazonovo,100,RU,1603409064,97,59.09,35.23,43.43,7.09
Hofn,100,IS,1603409064,82,64.25,-15.21,42.76,25.12
Mahébourg,75,MU,1603409064,88,-20.41,57.7,71.6,11.41
Fairbanks,1,US,1603409024,62,64.84,-147.72,28.0,3.83
Pucallpa,75,PE,1603409064,94,-8.38,-74.55,73.4,3.36
Hualmay,9,PE,1603409026,79,-11.1,-77.61,64.98,10.49
Rudovci,0,RS,1603409065,93,44.38,20.41,46.4,3.49
Liverpool,75,GB,1603409065,75,53.41,-2.98,46.4,10.29
Sativasur,54,CO,1603409065,83,6.09,-72.71,53.4,4.29
Waingapu,43,ID,1603409035,67,-9.66,120.26,80.94,2.42
Vardø,75,NO,1603408825,80,70.37,31.11,35.6,23.04
Luwuk,78,ID,1603409065,61,-0.95,122.79,80.71,2.24
Nidzica,0,PL,1603409065,87,53.36,20.43,53.6,9.17
Morondava,0,MG,1603409065,86,-20.28,44.28,76.06,9.37
Buenos Aires,90,AR,1603409065,93,-34.61,-58.38,62.6,2.24
Cherskiy,91,RU,1603409038,94,68.75,161.3,17.87,2.91
Lagos,21,NG,1603408873,91,6.58,3.75,77.88,5.32
Imbituba,75,BR,1603408895,88,-28.24,-48.67,71.6,12.75
Surat,0,IN,1603409066,72,21.17,72.83,81.25,2.46
Uvat,100,RU,1603409066,98,59.14,68.9,25.7,5.95
Kemijärvi,100,FI,1603409066,97,66.71,27.43,36.52,4.21
Talcahuano,0,CL,1603409066,76,-36.72,-73.12,57.2,8.05
Kavieng,100,PG,1603408780,69,-2.57,150.8,83.88,13.69
Khāsh,0,IR,1603409066,62,28.22,61.22,42.69,4.07
Serov,37,RU,1603409066,94,59.6,60.58,19.92,4.85
Fortuna,1,US,1603409066,41,40.6,-124.16,61.0,12.75
Zhigansk,100,RU,1603409025,95,66.77,123.37,20.48,23.29
Black River,75,JM,1603409067,83,18.03,-77.85,80.6,6.93
Tecuala,27,MX,1603409067,66,22.4,-105.46,88.38,9.17
San Vicente,64,AR,1603409067,53,-26.62,-54.13,75.33,2.28
Gushikawa,75,JP,1603409067,83,26.35,127.87,73.4,12.75
Korla,0,CN,1603409029,47,41.76,86.15,46.51,4.92
Nanortalik,0,GL,1603408779,84,60.14,-45.24,29.35,10.07
Okha,99,RU,1603409067,85,53.57,142.95,44.1,3.04
Pichayevo,99,RU,1603409067,87,53.24,42.2,42.17,11.1
Severo-Yeniseyskiy,98,RU,1603409067,95,60.37,93.04,25.09,13.38
Pisco,0,PE,1603408979,77,-13.7,-76.22,64.4,23.04
Kahului,20,US,1603408790,52,20.89,-156.47,87.8,11.41
Jamūī,19,IN,1603409068,85,24.92,86.22,75.02,2.91
Necochea,91,AR,1603409068,86,-38.55,-58.74,57.0,7.0
Cabo San Lucas,5,MX,1603408848,52,22.89,-109.91,89.6,17.22
Ca Mau,97,VN,1603409068,96,9.18,105.15,74.52,3.0
Merauke,11,ID,1603408786,75,-8.47,140.33,80.69,8.97
Ponta do Sol,20,PT,1603409027,59,32.67,-17.1,66.2,8.05
Chokurdakh,77,RU,1603409044,92,70.63,147.92,2.7,9.95
San Carlos,100,VE,1603409068,91,9.66,-68.58,77.4,1.54
Havre-St-Pierre,20,CA,1603408973,59,50.23,-63.6,37.4,10.29
Santander,99,ES,1603409069,82,43.46,-3.8,62.01,4.7
Butaritari,24,KI,1603409020,79,3.07,172.79,81.61,13.73
Grand Gaube,5,MU,1603408841,86,-20.01,57.66,69.01,3.0
Sabaudia,0,IT,1603409069,91,41.3,13.03,59.0,5.53
Chui,100,UY,1603409032,87,-33.7,-53.46,60.48,13.62
San Luis,56,AR,1603409069,69,-33.3,-66.34,66.88,12.21
Helong,41,CN,1603409069,84,42.54,129.0,31.57,8.55
Guaymas,5,MX,1603409069,63,27.93,-110.9,91.4,11.41
Bariloche,0,AR,1603409069,22,-41.15,-71.31,64.4,11.41
Waycross,1,US,1603409070,64,31.21,-82.35,75.2,8.05
Abnūb,0,EG,1603409054,44,27.27,31.15,77.0,8.05
Mossamedes,65,AO,1603409070,82,-15.2,12.15,70.54,4.72
Half Moon Bay,5,US,1603409070,41,37.46,-122.43,77.0,9.17
Temba,68,ZA,1603409070,68,-25.38,28.26,72.0,2.24
Flin Flon,90,CA,1603409070,63,54.77,-101.86,28.4,8.05
Tura,94,IN,1603409021,96,25.52,90.22,69.73,2.59
Henties Bay,0,NA,1603408808,86,-22.12,14.28,61.0,1.01
Hasaki,75,JP,1603408796,100,35.73,140.83,63.0,2.24
Torres,100,BR,1603409070,93,-29.34,-49.73,66.16,15.82
Thompson,90,CA,1603408773,68,55.74,-97.86,28.4,12.75
Pangnirtung,90,CA,1603408830,92,66.15,-65.71,26.6,2.24
Ahar,0,IR,1603409071,81,38.48,47.07,48.58,1.34
Slave Lake,90,CA,1603409071,73,55.28,-114.77,21.2,14.99
Westport,90,US,1603409030,82,41.14,-73.36,68.0,3.36
Klaksvík,100,FO,1603409071,81,62.23,-6.59,42.8,19.46
Tevriz,93,RU,1603409071,99,57.51,72.4,28.83,3.29
Tiksi,76,RU,1603409030,93,71.69,128.87,11.21,10.18
Tikhvin,100,RU,1603409071,96,59.65,33.53,45.79,6.93
São Filipe,0,CV,1603409034,78,14.9,-24.5,80.2,8.99
Valdivia,74,CL,1603409071,67,-39.81,-73.25,59.0,6.93
Pitimbu,75,BR,1603409072,100,-7.47,-34.81,75.2,11.41
Lakes Entrance,82,AU,1603409072,59,-37.88,147.98,66.02,4.0
Chara,55,RU,1603408810,85,56.91,118.26,12.43,0.4
Gornozavodsk,49,RU,1603409072,97,58.38,58.32,17.78,5.53
Batagay-Alyta,11,RU,1603409020,85,67.8,130.41,3.06,3.11
Garoowe,60,SO,1603409072,69,8.41,48.48,79.45,10.4
Saldanha,65,ZA,1603409045,82,-33.01,17.94,59.0,9.17
Destin,20,US,1603408828,69,30.39,-86.5,82.4,3.36
Tuktoyaktuk,90,CA,1603409027,92,69.45,-133.04,26.6,27.51
Port-Gentil,75,GA,1603408787,94,-0.72,8.78,78.8,12.75
Puerto Ayora,79,EC,1603408785,93,-0.74,-90.35,68.0,5.99
Mitsamiouli,3,KM,1603409073,73,-11.38,43.28,79.72,4.92
Zhigalovo,14,RU,1603409073,95,54.81,105.16,30.72,1.48
Manadhoo,46,MV,1603409073,80,5.77,73.38,81.55,14.07
Tessalit,0,ML,1603409073,13,20.2,1.01,85.59,11.54
Alofi,75,NU,1603409073,83,-19.06,-169.92,80.6,12.75
San Rafael,0,AR,1603408832,47,-34.62,-68.33,72.55,10.36
Risti,100,EE,1603409073,94,59.0,24.06,51.01,10.0
Stromness,88,GB,1603408833,86,58.97,-3.3,37.4,8.05
Tot'ma,100,RU,1603409073,94,59.97,42.76,31.62,10.27
Kiryat Gat,20,IL,1603409073,69,31.61,34.76,73.4,4.7
Marawi,100,PH,1603409031,80,8.0,124.29,78.01,8.99
Cururupu,42,BR,1603408823,92,-1.83,-44.87,76.53,3.74
Moose Factory,90,CA,1603408820,80,51.26,-80.61,35.6,4.7
Malinyi,9,TZ,1603409074,57,-8.93,36.13,76.8,3.27
Kushiro,75,JP,1603409074,100,42.98,144.37,57.2,23.04
Tazovsky,94,RU,1603409074,96,67.47,78.7,10.26,9.19
Maţāy,0,EG,1603409074,65,28.42,30.78,68.52,5.26
Port Hedland,96,AU,1603409074,88,-20.32,118.57,73.4,4.7
Dawei,17,MM,1603409074,86,14.08,98.2,72.3,5.19
Saskylakh,89,RU,1603408768,93,71.92,114.08,4.86,11.72
Yulara,0,AU,1603409040,59,-25.24,130.99,66.2,12.75
Northam,56,GB,1603408819,89,51.03,-4.22,51.01,0.2
Gornopravdinsk,100,RU,1603409075,98,60.05,69.9,24.75,8.14
Tākestān,0,IR,1603409075,65,36.07,49.7,46.4,2.24
Te Anau,99,NZ,1603409075,56,-45.42,167.72,56.86,6.55
Magadan,99,RU,1603409075,91,59.57,150.8,31.57,12.62
Teya,97,RU,1603409075,93,60.38,92.63,28.26,11.68
Three Hills,90,CA,1603409075,72,51.7,-113.27,15.8,4.7
Kédougou,1,SN,1603409075,53,12.56,-12.17,79.66,2.64
Tasiilaq,100,GL,1603409026,44,65.61,-37.64,39.2,28.86
Finote Selam,76,ET,1603409075,89,10.7,37.27,55.47,3.53
Egvekinot,25,RU,1603409076,95,66.32,-179.17,29.64,4.09
Provideniya,75,RU,1603409023,83,64.38,-173.3,39.2,13.42
Chicama,17,PE,1603409076,72,-7.84,-79.15,67.35,7.72
Doha,0,QA,1603409076,69,25.29,51.53,75.2,5.48
Codrington,100,AU,1603409076,97,-38.27,141.97,54.61,5.5
Lermontovka,53,RU,1603409076,87,47.15,134.34,34.09,4.61
Porto Santo,20,PT,1603409076,68,33.07,-16.34,66.2,10.29
Alakurtti,100,RU,1603409076,94,66.97,30.35,32.0,1.99
Alice Springs,0,AU,1603409033,30,-23.7,133.88,80.6,13.87
Porto Walter,32,BR,1603409077,74,-8.27,-72.74,79.32,2.66
Saint George,1,US,1603409044,13,37.1,-113.58,84.0,8.05
Evensk,82,RU,1603409077,84,61.95,159.23,36.66,2.66
Atar,4,MR,1603409077,31,20.52,-13.05,87.15,8.99
Kodinsk,79,RU,1603409034,86,58.69,99.18,38.46,10.29
Lompoc,20,US,1603408882,72,34.64,-120.46,68.0,9.17
Slavonice,77,CZ,1603409077,97,49.0,15.35,46.0,2.44
Saint-Augustin,52,CA,1603408962,75,51.23,-58.65,38.61,19.26
Bethel,90,US,1603409029,88,41.37,-73.41,66.2,3.36
Sumkino,93,RU,1603409077,96,58.11,68.32,27.12,7.23
Xingyi,79,CN,1603409078,74,24.19,102.82,42.17,2.84
Kiama,10,AU,1603409078,73,-34.68,150.87,75.0,5.01
Cidreira,98,BR,1603408860,86,-30.18,-50.21,65.75,24.63
Oodweyne,95,SO,1603408844,27,9.41,45.06,77.23,7.0
Chalmette,20,US,1603409078,74,29.94,-89.96,80.6,16.11
Sitka,40,US,1603409034,38,57.05,-135.33,39.2,6.93
Maragogi,82,BR,1603408893,86,-9.01,-35.22,77.09,8.28
Pawa,84,PH,1603409078,84,13.17,123.73,81.19,4.61
Atikokan,100,CA,1603409078,95,48.76,-91.62,31.12,3.69
Kantang,90,TH,1603409078,100,7.41,99.52,80.01,3.09
Terre Haute,1,US,1603408944,57,39.47,-87.41,77.0,9.17
Roald,13,NO,1603409079,66,62.58,6.13,37.99,11.41
Oranjemund,80,NA,1603409036,83,-28.55,16.43,59.56,5.93
Pargas,90,FI,1603409079,100,60.31,22.3,52.0,4.7
Bushehr,0,IR,1603409079,50,28.97,50.84,75.2,3.69
Vestmannaeyjar,99,IS,1603409033,85,63.44,-20.27,43.41,49.1
Upernavik,100,GL,1603408961,97,72.79,-56.15,25.0,7.14
Huilong,8,CN,1603409079,66,31.81,121.66,64.0,14.41
Great Yarmouth,3,GB,1603409079,97,52.61,1.73,46.0,8.32
Itambé,99,BR,1603409079,74,-15.24,-40.62,73.8,4.03
Sørland,100,NO,1603408834,67,67.67,12.69,41.2,11.81
Leningradskiy,0,RU,1603408771,92,69.38,178.42,30.2,7.02
Huntsville,1,US,1603409041,65,34.73,-86.59,77.0,3.36
Nome,1,US,1603409027,60,64.5,-165.41,42.8,11.41
Biak,72,ID,1603409080,68,-0.91,122.88,79.43,2.62
Gimli,95,CA,1603408882,98,50.63,-96.99,33.01,8.9
Severnyy,0,RU,1603409080,70,50.68,36.55,48.2,11.18
Coquimbo,75,CL,1603408770,82,-29.95,-71.34,55.4,9.17
Inhambane,69,MZ,1603409080,79,-23.86,35.38,71.24,8.1
Dingle,67,PH,1603409080,87,11.0,122.67,80.01,6.6
Jojoima,97,SL,1603409080,97,7.88,-10.79,72.16,0.49
Ulladulla,0,AU,1603409080,72,-35.35,150.47,69.01,4.7
Paphos,0,CY,1603409081,68,34.77,32.42,68.0,6.93
Aripuanã,76,BR,1603409081,73,-9.17,-60.63,80.38,1.63
Muros,44,ES,1603408797,92,42.78,-9.06,55.0,1.01
Quryq,69,KZ,1603409081,47,43.2,51.65,51.08,6.44
Muroto-misakicho,75,JP,1603409081,93,33.28,134.15,66.2,2.24
Sundumbili,75,ZA,1603409081,88,-29.13,31.4,69.8,9.17
Zamora,63,EC,1603408877,73,-4.07,-78.96,70.29,1.9
Stillwater,1,US,1603408912,45,36.12,-97.06,84.2,21.92
Mount Isa,90,AU,1603409023,78,-20.73,139.5,75.2,4.7
Portlethen,90,GB,1603408999,100,57.05,-2.13,46.4,4.7
Kidal,0,ML,1603409082,13,18.44,1.41,85.32,9.35
Celestún,46,MX,1603408869,81,20.87,-90.4,82.36,7.83
Saint Anthony,90,US,1603409046,86,45.02,-93.22,35.01,12.75
Ukiah,1,US,1603409028,14,39.15,-123.21,87.8,6.24
Rørvik,87,NO,1603409082,63,64.86,11.24,42.62,9.19
Pointe-Noire,100,CG,1603409082,86,-4.78,11.86,77.67,8.61
Vozrozhdeniye,0,RU,1603409082,58,44.55,38.21,53.78,1.72
Caxias,65,PT,1603409082,73,38.7,-9.28,60.01,2.57
Kizema,99,RU,1603409083,96,61.11,44.83,28.96,8.72
Pevek,0,RU,1603409032,96,69.7,170.31,29.55,16.22
Pedernales,90,DO,1603409083,94,18.04,-71.74,77.0,6.93
Flinders,8,AU,1603409083,73,-34.58,150.86,75.0,5.01
Caravelas,97,BR,1603409083,89,-17.71,-39.25,73.87,6.08
Marrakesh,75,MA,1603408760,68,31.63,-8.01,64.4,5.82
Tālcher,49,IN,1603409083,90,20.95,85.22,73.18,7.54
Manta,20,EC,1603409083,78,-0.95,-80.73,75.2,9.17
Taltal,25,CL,1603409084,75,-25.4,-70.48,58.32,4.97
Teguise,20,ES,1603409084,68,29.06,-13.56,68.0,9.17
Gunjur,0,GM,1603409084,94,13.2,-16.73,80.6,9.44
Sobolevo,22,RU,1603409084,87,54.43,31.9,51.85,16.02
Nemyriv,56,UA,1603409084,57,48.97,28.84,51.42,3.67
Malbork,24,PL,1603409084,100,54.04,19.03,54.0,10.65
Prokop'yevsk,100,RU,1603409084,87,53.91,86.72,34.92,6.78
Huangmei,0,CN,1603409084,55,30.19,116.03,54.93,5.01
Haines Junction,0,CA,1603409045,78,60.75,-137.51,25.45,2.73
Samarinda,94,ID,1603409084,90,-0.5,117.15,76.78,1.57
Manuk Mangkaw,80,PH,1603409084,80,4.8,119.85,82.83,15.03
Harper,94,LR,1603408785,88,4.38,-7.72,77.56,5.66
Rome,90,US,1603409012,82,43.21,-75.46,59.0,3.36
Bathsheba,40,BB,1603409033,88,13.22,-59.52,80.6,10.29
Chichimila,69,MX,1603409085,88,20.62,-88.22,80.38,2.93
Phan Thiet,99,VN,1603409085,89,10.93,108.1,75.45,2.73
Ancud,68,CL,1603408973,54,-41.87,-73.82,59.0,5.82
Byron Bay,90,AU,1603409083,69,-28.65,153.62,80.01,11.41
Nioro,8,GM,1603409085,59,13.35,-15.75,80.65,4.76
Rincon,75,US,1603409085,78,32.3,-81.24,77.0,6.93
Mount Gambier,90,AU,1603409085,93,-37.83,140.77,59.0,6.93
Dakoro,0,NE,1603409086,13,14.51,6.76,86.79,12.19
Banda Aceh,98,ID,1603408838,69,5.56,95.32,81.64,8.57
Boulsa,0,BF,1603409086,17,12.67,-0.58,85.64,6.49
Valladolid,40,ES,1603409086,93,41.58,-4.67,53.01,5.82
Namatanai,45,PG,1603409041,63,-3.67,152.43,84.16,9.37
Marabu,40,MY,1603408995,94,4.41,114.01,77.0,6.93
Athabasca,100,CA,1603409086,83,54.72,-113.29,23.41,7.34
Port Blair,100,IN,1603408779,85,11.67,92.75,80.67,9.78
Sirte,0,LY,1603408974,63,31.21,16.59,67.64,4.43
Saint-Joseph,75,RE,1603408804,78,-21.37,55.62,73.4,10.29
Bethanien,78,NA,1603409086,35,-26.5,17.16,69.8,6.93
Sur,0,OM,1603409028,60,22.57,59.53,72.91,6.26
Atbasar,37,KZ,1603409087,90,51.8,68.33,27.99,9.06
Neiafu,75,TO,1603409087,83,-18.65,-173.98,78.8,8.05
Tarazá,93,CO,1603409087,88,7.58,-75.4,78.01,1.68
Narsaq,0,GL,1603408801,57,60.92,-46.05,23.0,6.93
Khani,0,GE,1603408850,93,41.96,42.96,51.8,2.24
Clyde River,90,CA,1603409077,85,70.47,-68.59,14.0,4.7
Kumul,91,CN,1603409024,47,42.8,93.45,46.44,0.29
Kathu,20,TH,1603408848,94,7.92,98.33,82.99,3.36
Marsá Maţrūḩ,0,EG,1603409065,68,31.35,27.25,64.4,3.0
Flic en Flac,75,MU,1603409087,88,-20.27,57.36,71.6,11.41
Lac du Bonnet,100,CA,1603409088,98,50.25,-96.06,33.01,4.76
Santa Isabel Rio Negro,55,BR,1603409088,73,-0.41,-65.02,80.92,0.43
Honiara,75,SB,1603408874,88,-9.43,159.95,80.6,3.36
Digri,0,PK,1603409088,23,25.16,69.11,77.61,8.63
Huarmey,13,PE,1603409063,78,-10.07,-78.15,65.53,9.84
Japura,100,ID,1603408809,91,-0.32,102.35,74.46,1.19
Berbera,99,SO,1603409088,59,10.44,45.01,84.79,7.38
Brewster,90,US,1603409088,88,41.4,-73.62,66.2,3.36
Alekseyevka,98,RU,1603409088,67,50.63,38.69,49.5,12.3
Niamey,0,NE,1603409080,25,13.51,2.11,84.2,7.25
Lumphat,100,KH,1603409088,97,13.49,106.98,70.77,3.09
Kushima,75,JP,1603409089,88,31.46,131.23,62.6,11.41
Careiro da Várzea,75,BR,1603409089,70,-3.2,-59.81,86.0,6.93
Santa Maria da Boa Vista,55,BR,1603409089,30,-8.81,-39.83,88.36,14.74
Weatherford,0,US,1603408762,63,32.76,-97.8,84.0,3.0
Porto-Novo,40,BJ,1603408833,88,6.5,2.6,80.6,9.17
